AD,andorra
AE,الإمارات العربية المتحدة
AF,أفغانستان
AG,أنتيغوا وبربودا
AI,انغويلا
AL,ألبانيا
AM,أرمينيا
AO,أنغولا
AP,أسيا / منطقة المحيط الهادئ
AQ,القطب الجنوبي
AR,الأرجنتين
AS,ساموا الأمريكية
AT,النمسا
AU,أستراليا
AW,أروبا
AX,جزر آلاند
AZ,أذربيجان
BA,البوسنة والهرسك
BB,بربادوس
BD,بنغلاديش
BE,بلجيكا
BF,بوركينا فاسو
BG,بلغاريا
BH,البحرين
BI,بوروندي
BJ,بنين
BL,سان بارتيلمي
BM,برمودا
BN,بروناي
BO,بوليفيا
BQ,بونير، ورسينت يوستاتيوس وسابا
BR,الرازيل
BS,الباهاما
BT,بوتان
BV,جزيرة بوفيت
BW,بوتسوانا
BY,روسيا البيضاء
BZ,بليز
CA,كندا
CC,جزر كوكوس (كيلينغ)
CD,جمهورية الكونغو الديمقراطية
CF,جمهورية أفريقيا الوسطى
CG,الكونغو
CH,سويسرا
CI,ساحل العاج
CK,جزر كوك
CL,تشيلي
CM,الكاميرون
CN,الصين
CO,كولومبيا
CR,كوستاريكا
CU,كوبا
CV,الرأس الأخضر
CW,كوراساو
CX,جزيرة الكريسماس
CY,قبرص
CZ,جمهورية التشيك
DE,ألمانيا
DJ,جيبوتي
DK,الدانمارك
DM,دومينيكا
DO,جمهورية الدومينيكان
DZ,الجزائر
EC,الإكوادور
EE,استونيا
EG,مصر
EH,الصحراء الغربية
ER,ايريتريا
ES,إسبانيا
ET,إثيوبيا
EU,أوروبا
FI,فنلندا
FJ,فيجي
FK,جزر فوكلاند (مالفيناس)
FM,ولايات ميكرونيزيا الموحدة
FO,جزر فارو
FR,فرنسا
GA,الغابون
GB,المملكة المتحدة
GD,غرينادا
GE,جورجيا
GF,غويانا الفرنسية
GG,غيرنسي
GH,غانا
GI,جبل طارق
GL,جرينلاند
GM,غامبيا
GN,غينيا
GP,غوادلوب
GQ,غينيا الاستوائية
GR,اليونان
GS,جورجيا الجنوبية وجزر ساندويتش الجنوبية
GT,غواتيمالا
GU,غوام
GW,غينيا بيساو
GY,غيانا
HK,هونغ كونغ
HM,جزيرة هيرد وماكدونالد
HN,هندوراس
HR,كرواتيا
HT,هايتي
HU,هنغاريا
ID,أندونيسيا
IE,أيرلندا
IL,إسرائيل
IM,جزيرة مان
IN,الهند
IO,المحيط الهندي البريطاني
IQ,العراق
IR,جمهورية إيران الإسلامية
IS,أيسلندا
IT,إيطاليا
JE,جيرسي
JM,جامايكا
JO,الأردن
JP,اليابان
KE,كينيا
KG,قرغيزستان
KH,كمبوديا
KI,كيريباتي
KM,جزر القمر
KN,سانت كيتس ونيفيس
KP,جمهورية كوريا الديمقراطية الشعبية
KR,جمهورية كوريا
KW,الكويت
KY,جزر كايمان
KZ,كازاخستان
LA,جمهورية لاو الديمقراطية الشعبية
LB,لبنان
LC,سانت لوسيا
LI,ليختنشتاين
LK,سيريلانكا
LR,ليبيريا
LS,ليسوتو
LT,ليتوانيا
LU,لوكسمبورغ
LV,لاتفيا
LY,الجماهيرية العربية الليبية
MA,المغرب
MC,موناكو
MD,جمهورية مولدوفا
ME,الجبل الأسود
MF,سانت مارتن
MG,مدغشقر
MH,جزر مارشال
MK,مقدونيا
ML,مالي
MM,ميانمار
MN,منغوليا
MO,ماكاو
MP,جزر ماريانا الشمالية
MQ,مارتينيك
MR,موريتانيا
MS,مونتسيرات
MT,مالطا
MU,موريشيوس
MV,جزر المالديف
MW,ملاوي
MX,المكسيك
MY,ماليزيا
MZ,موزمبيق
NA,ناميبيا
NC,كاليدونيا الجديدة
NE,النيجر
NF,جزيرة نورفولك
NG,نيجيريا
NI,نيكاراغوا
NL,هولندا
NO,النرويج
NP,نيبال
NR,ناورو
NU,نيوي
NZ,نيوزيلندا
OM,عمان
PA,بنما
PE,بيرو
PF,بولينيزيا الفرنسية
PG,بابوا غينيا الجديدة
PH,الفلبين
PK,باكستان
PL,بولندا
PM,سان بيير وميكلون
PN,بيتكيرن
PR,بورتوريكو
PS,قلسطين
PT,البرتغال
PW,بالاو
PY,باراغواي
QA,قطر
RE,ريونيون
RO,رومانيا
RS,صربيا
RU,الرابطة الروسية
RW,رواندا
SA,المملكة العربية السعودية
SB,جزر سليمان
SC,سيشيل
SD,السودان
SE,السويد
SG,سنغافورة
SH,سانت هيلانة
SI,سلوفينيا
SJ,سفالبارد ويان مايان
SK,سلوفاكيا
SL,سيراليون
SM,سان مارينو
SN,السنغال
SO,الصومال
SR,سورينام
SS,جنوب السودان
ST,ساو تومي وبرينسيبي
SV,السلفادور
SX,سينت مارتين
SY,الجمهورية العربية السورية
SZ,سوازيلاند
TC,جزر تركس وكايكوس
TD,تشاد
TF,المقاطعات الجنوبية الفرنسية
TG,توغو
TH,تايلاند
TJ,طاجيكستان
TK,توكيلو
TL,تيمور ليشتي
TM,تركمانستان
TN,تونس
TO,تونغا
TR,تركيا
TT,ترينيداد وتوباغو
TV,توفالو
TW,تايوان
TZ,جمهورية تنزانيا المتحدة
UA,أوكرانيا
UG,أوغندا
UM,جزر الولايات المتحدة البعيدة الصغرى
US,الولايات المتحدة
UY,أوروغواي
UZ,أوزبكستان
VA,الكرسي الرسولي (دولة الفاتيكان)
VC,سانت فنسنت وجزر غرينادين
VE,فنزويلا
VG,جزر العذراء البريطانية
VI,جزر العذراء الأمريكية
VN,فيتنام
VU,فانواتو
WF,واليس وفوتونا
WS,ساموا
XK,كوسوفو
YE,اليمن
YT,مايوت
ZA,جنوب أفريقيا
ZM,زامبيا
ZW,زيمبابوي
